sample_Id	sample_name	sample	sample_desc	culture	cells	indi	treatment	replicate
NM6322_A1-BX0175-001	astro_nt_1_A	BX0175-001	pure:astrocyte:ctrl_1_JOM_inhouse:no_treatment:1	pure	astrocyte	ctrl_1_JOM_inhouse	no_treatment	1
NM6323_B1-BX0175-002	astro_asyn_1_A	BX0175-002	pure:astrocyte:ctrl_1_JOM_inhouse:1uM_syn_oligomer:1	pure	astrocyte	ctrl_1_JOM_inhouse	1uM_syn_oligomer	1
NM6324_C1-BX0175-003	astro_asyn_exan_1_A	BX0175-003	pure:astrocyte:ctrl_1_JOM_inhouse:1uM_syn_oligomer_and_exenatid:1	pure	astrocyte	ctrl_1_JOM_inhouse	1uM_syn_oligomer_and_exenatid	1
NM6325_D1-BX0175-004	cocult_nt_1_A	BX0175-004	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:no_treatment:1	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	no_treatment	1
NM6326_E1-BX0175-005	cocult_asyn_1_A	BX0175-005	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:1uM_syn_oligomer:1	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	1uM_syn_oligomer	1
NM6327_F1-BX0175-006	cocult_asyn_exan_1_A	BX0175-006	co_culture:astrocyte_neuron:ctrl_1_JOM_inhouse:1uM_syn_oligomer_and_exenatid:1	co_culture	astrocyte_neuron	ctrl_1_JOM_inhouse	1uM_syn_oligomer_and_exenatid	1
NM6328_G1-BX0175-007	astro_nt_2_A	BX0175-007	pure:astrocyte:ctrl_2_ND_inhouse:no_treatment:1	pure	astrocyte	ctrl_2_ND_inhouse	no_treatment	1
NM6329_H1-BX0175-008	astro_asyn_2_A	BX0175-008	pure:astrocyte:ctrl_2_ND_inhouse:1uM_syn_oligomer:1	pure	astrocyte	ctrl_2_ND_inhouse	1uM_syn_oligomer	1
NM6330_A2-BX0175-009	astro_asyn_exan_2_A	BX0175-009	pure:astrocyte:ctrl_2_ND_inhouse:1uM_syn_oligomer_and_exenatid:1	pure	astrocyte	ctrl_2_ND_inhouse	1uM_syn_oligomer_and_exenatid	1
NM6331_B2-BX0175-010	cocult_nt_2_A	BX0175-010	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:no_treatment:1	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	no_treatment	1
NM6332_C2-BX0175-011	cocult_asyn_2_A	BX0175-011	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:1uM_syn_oligomer:1	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	1uM_syn_oligomer	1
NM6333_D2-BX0175-012	cocult_asyn_exan_2_A	BX0175-012	co_culture:astrocyte_neuron:ctrl_2_ND_inhouse:1uM_syn_oligomer_and_exenatid:1	co_culture	astrocyte_neuron	ctrl_2_ND_inhouse	1uM_syn_oligomer_and_exenatid	1
